NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	SRR10358491_NODE_4_length_224192_cov_11.038949	100.000	1000	0	0	1	1000	162427	161428	0.0	1847	minus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	SRR10358489_NODE_6_length_209744_cov_17.155574	100.000	1000	0	0	1	1000	47320	48319	0.0	1847	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	SRR10358488_NODE_5_length_209744_cov_17.813722	100.000	1000	0	0	1	1000	47320	48319	0.0	1847	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	SRR10358487_NODE_6_length_209744_cov_13.217979	100.000	1000	0	0	1	1000	47320	48319	0.0	1847	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	SRR10358486_NODE_5_length_224417_cov_23.200682	100.000	1000	0	0	1	1000	61993	62992	0.0	1847	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	SRR10358485_NODE_7_length_196189_cov_15.353786	100.000	1000	0	0	1	1000	134423	133424	0.0	1847	minus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	ASM886v1_BA000007.2	98.800	1000	12	0	1	1000	3081351	3082350	0.0	1781	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	ASM666v1_AE005174.2	98.800	1000	12	0	1	1000	3152620	3153619	0.0	1781	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	ASM2516v1_CP001846.1	98.800	1000	12	0	1	1000	2823557	2824556	0.0	1781	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	ASM2222v1_CP001368.1	98.800	1000	12	0	1	1000	3077584	3078583	0.0	1781	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	ASM17195v1_ABHQ01000004.1	98.800	1000	12	0	1	1000	123087	124086	0.0	1781	plus
NC_000913.2_Escherichia_coli_str._K-12_substr._MG1655,_complete_genome_2350000:2351000	ASM15512v1_CM000662.1	98.800	1000	12	0	1	1000	3752079	3751080	0.0	1781	minus
